Judet,Unitate administrativ teritoriala,Denumire,Populatie,Barbati,Femei
Botosani,COMUNA,CONCESTI,1748,868,880
Botosani,COMUNA,COPALAU,3985,2018,1967
Botosani,COMUNA,CORDARENI,1729,809,920
Botosani,COMUNA,CORLATENI,2175,1028,1147
Botosani,COMUNA,CORNI,6460,3282,3178
Botosani,COMUNA,COSULA,2912,1471,1441
Botosani,COMUNA,COTUSCA,4522,2240,2282
Botosani,COMUNA,CRISTESTI,4409,2228,2181
Botosani,COMUNA,CRISTINESTI,3586,1727,1859
Botosani,COMUNA,CURTESTI,4403,2194,2209
Botosani,COMUNA,DANGENI,3055,1498,1557
Botosani,COMUNA,DERSCA,3043,1463,1580
Botosani,COMUNA,DIMACHENI,1392,684,708
Botosani,COMUNA,DOBARCENI,2736,1377,1359
Botosani,COMUNA,DRAGUSENI,2481,1264,1217
Botosani,COMUNA,DURNESTI,3638,1835,1803
Botosani,COMUNA,FRUMUSICA,5480,2749,2731
Botosani,COMUNA,GEORGE ENESCU,3216,1582,1634
Botosani,COMUNA,GORBANESTI,3428,1710,1718
Botosani,COMUNA,HANESTI,2121,1089,1032
Botosani,COMUNA,HAVARNA,4478,2195,2283
Botosani,COMUNA,HILISEU-HORIA,3371,1669,1702
Botosani,COMUNA,HLIPICENI,3349,1644,1705
Botosani,COMUNA,HUDESTI,6002,2920,3082
Botosani,COMUNA,IBANESTI,3903,1898,2005
Botosani,COMUNA,LEORDA,2124,1069,1055
Botosani,COMUNA,LOZNA,1852,943,909
Botosani,COMUNA,LUNCA,4238,2074,2164
Botosani,COMUNA,MANOLEASA,3224,1572,1652
Botosani,COMUNA,MIHAI EMINESCU,6807,3402,3405
Botosani,COMUNA,MIHAILENI,2286,1123,1163
Botosani,COMUNA,MIHALASENI,2206,1083,1123
Botosani,COMUNA,MILEANCA,2677,1340,1337
Botosani,COMUNA,MITOC,1854,905,949
Botosani,COMUNA,NICSENI,2610,1301,1309
Botosani,COMUNA,PALTINIS,2734,1296,1438
Botosani,COMUNA,POMARLA,2622,1323,1299
Botosani,COMUNA,PRAJENI,3097,1548,1549
Botosani,COMUNA,RACHITI,4237,2127,2110
Botosani,COMUNA,RADAUTI-PRUT,3266,1571,1695
Botosani,COMUNA,RAUSENI,2787,1372,1415
Botosani,COMUNA,RIPICENI,1899,962,937
Botosani,COMUNA,ROMA,3249,1629,1620
Botosani,COMUNA,ROMANESTI,1905,940,965
Botosani,COMUNA,SANTA MARE,2637,1332,1305
Botosani,COMUNA,SENDRICENI,3851,1939,1912
Botosani,COMUNA,STAUCENI,3606,1830,1776
Botosani,COMUNA,STIUBIENI,2645,1302,1343
Botosani,COMUNA,SUHARAU,4779,2300,2479
Botosani,COMUNA,SULITA,3020,1508,1512
Botosani,COMUNA,TODIRENI,3272,1647,1625
Botosani,COMUNA,TRUSESTI,5136,2547,2589
Botosani,COMUNA,TUDORA,5065,2652,2413
Botosani,COMUNA,UNGURENI,6605,3325,3280
Botosani,COMUNA,UNTENI,2737,1377,1360
Botosani,COMUNA,VACULESTI,1916,934,982
Botosani,COMUNA,VARFU CAMPULUI,3389,1623,1766
Botosani,COMUNA,VIISOARA,1922,958,964
Botosani,COMUNA,VLADENI,4468,2199,2269
Botosani,COMUNA,VLASINESTI,3079,1499,1580
Botosani,COMUNA,VORNICENI,3962,1992,1970
Botosani,COMUNA,VORONA,7322,3710,3612
Brasov,MUNICIPIU,BRASOV,227961,108746,119215
Brasov,MUNICIPIU,CODLEA,19836,10002,9834
Brasov,MUNICIPIU,FAGARAS,28330,13458,14872
Brasov,MUNICIPIU,SACELE,26907,13196,13711
Brasov,ORAS,GHIMBAV,4539,2217,2322
Brasov,ORAS,PREDEAL,4433,2116,2317
Brasov,ORAS,RASNOV,14081,6938,7143
Brasov,ORAS,RUPEA,5011,2401,2610
Brasov,ORAS,VICTORIA,7067,3455,3612
Brasov,ORAS,ZARNESTI,21681,10749,10932
Brasov,COMUNA,APATA,2989,1491,1498
Brasov,COMUNA,AUGUSTIN,1716,859,857
Brasov,COMUNA,BECLEAN,1790,879,911
Brasov,COMUNA,BOD,3771,1872,1899
Brasov,COMUNA,BRAN,4846,2392,2454
Brasov,COMUNA,BUDILA,4114,2121,1993
Brasov,COMUNA,BUNESTI,2305,1182,1123
Brasov,COMUNA,CATA,2399,1199,1200
Brasov,COMUNA,CINCU,1540,754,786
Brasov,COMUNA,COMANA,2556,1275,1281
Brasov,COMUNA,CRISTIAN,4315,2082,2233
Brasov,COMUNA,CRIZBAV,2379,1203,1176
Brasov,COMUNA,DRAGUS,1147,588,559
Brasov,COMUNA,DUMBRAVITA,4468,2261,2207
Brasov,COMUNA,FELDIOARA,5685,2886,2799
Brasov,COMUNA,FUNDATA,839,429,410
Brasov,COMUNA,HALCHIU,4104,2063,2041
Brasov,COMUNA,HARMAN,5202,2577,2625
Brasov,COMUNA,HARSENI,2034,1034,1000
Brasov,COMUNA,HOGHIZ,4852,2408,2444
Brasov,COMUNA,HOLBAV,1247,646,601
Brasov,COMUNA,HOMOROD,2119,1063,1056
Brasov,COMUNA,JIBERT,2127,1083,1044
Brasov,COMUNA,LISA,1681,846,835
Brasov,COMUNA,MAIERUS,2817,1430,1387
Brasov,COMUNA,MANDRA,2629,1288,1341
Brasov,COMUNA,MOIECIU,4621,2346,2275
Brasov,COMUNA,ORMENIS,1936,985,951
Brasov,COMUNA,PARAU,1779,887,892
Brasov,COMUNA,POIANA MARULUI,3199,1690,1509
Brasov,COMUNA,PREJMER,8114,4023,4091
Brasov,COMUNA,RACOS,3179,1593,1586
Brasov,COMUNA,RECEA,3006,1500,1506
Brasov,COMUNA,SAMBATA DE SUS,1505,763,742
Brasov,COMUNA,SANPETRU,4585,2275,2310
Brasov,COMUNA,SERCAIA,2733,1374,1359
Brasov,COMUNA,SINCA,3202,1594,1608
Brasov,COMUNA,SINCA NOUA,1653,838,815
Brasov,COMUNA,SOARS,1692,873,819
Brasov,COMUNA,TARLUNGENI,7820,3899,3921
Brasov,COMUNA,TELIU,4009,2008,2001
Brasov,COMUNA,TICUSU,878,458,420
Brasov,COMUNA,UCEA,2126,1057,1069
Brasov,COMUNA,UNGRA,1865,950,915
Brasov,COMUNA,VAMA BUZAULUI,3163,1619,1544
Brasov,COMUNA,VISTEA,1917,952,965
Brasov,COMUNA,VOILA,2503,1237,1266
Brasov,COMUNA,VULCAN,4440,2260,2180
Braila,MUNICIPIU,BRAILA,168389,80944,87445
Braila,ORAS,FAUREI,3411,1684,1727
Braila,ORAS,IANCA,10049,4986,5063
Braila,ORAS,INSURATEI,6332,3247,3085
Braila,COMUNA,BARAGANUL,3016,1504,1512
Braila,COMUNA,BERTESTII DE JOS,3044,1561,1483
Braila,COMUNA,BORDEI VERDE,2608,1322,1286
Braila,COMUNA,CAZASU,2877,1456,1421
Braila,COMUNA,CHISCANI,5070,2533,2537
Braila,COMUNA,CIOCILE,2723,1345,1378
Braila,COMUNA,CIRESU,3036,1465,1571
Braila,COMUNA,DUDESTI,3448,1775,1673
Braila,COMUNA,FRECATEI,1298,677,621
Braila,COMUNA,GALBENU,3052,1523,1529
Braila,COMUNA,GEMENELE,1782,889,893
Braila,COMUNA,GRADISTEA,2236,1070,1166
Braila,COMUNA,GROPENI,3210,1567,1643
Braila,COMUNA,JIRLAU,2963,1435,1528
Braila,COMUNA,MARASU,2834,1451,1383
Braila,COMUNA,MAXINENI,3163,1582,1581
Braila,COMUNA,MIRCEA VODA,3107,1575,1532
Braila,COMUNA,MOVILA MIRESII,3976,2015,1961
Braila,COMUNA,RACOVITA,1137,548,589
Braila,COMUNA,RIMNICELU,2034,993,1041
Braila,COMUNA,ROMANU,1711,849,862
Braila,COMUNA,ROSIORI,2747,1344,1403
Braila,COMUNA,SALCIA TUDOR,2512,1256,1256
Braila,COMUNA,SCORTARU NOU,1207,573,634
Braila,COMUNA,SILISTEA,1587,796,791
Braila,COMUNA,STANCUTA,3364,1698,1666
Braila,COMUNA,SURDILA-GAISEANCA,2440,1171,1269
Braila,COMUNA,SURDILA-GRECI,1453,716,737
Braila,COMUNA,SUTESTI,4211,2075,2136
Braila,COMUNA,TICHILESTI,3774,2046,1728
Braila,COMUNA,TRAIAN,3264,1647,1617
Braila,COMUNA,TUDOR VLADIMIRESCU,2034,991,1043
Braila,COMUNA,TUFESTI,5086,2525,2561
Braila,COMUNA,ULMU,3762,1854,1908
Braila,COMUNA,UNIREA,2312,1151,1161
Braila,COMUNA,VADENI,3974,2001,1973
Braila,COMUNA,VICTORIA,3656,1854,1802
Braila,COMUNA,VISANI,2398,1175,1223
Braila,COMUNA,VIZIRU,5589,2799,2790
Braila,COMUNA,ZAVOAIA,3049,1497,1552
Buzau,MUNICIPIUL,BUZAU,108384,51609,56775
Buzau,MUNICIPIUL,RAMNICU SARAT,31256,15063,16193
Buzau,ORAS,NEHOIU,9959,4926,5033
Buzau,ORAS,PATARLAGELE,7135,3451,3684
Buzau,ORAS,POGOANELE,6926,3420,3506
Buzau,COMUNA,AMARU,2579,1279,1300
Buzau,COMUNA,BALACEANU,1567,765,802
Buzau,COMUNA,BALTA ALBA,2481,1193,1288
Buzau,COMUNA,BECENI,4301,2099,2202
Buzau,COMUNA,BERCA,8236,3937,4299
Buzau,COMUNA,BISOCA,2732,1401,1331
Buzau,COMUNA,BLAJANI,1108,539,569
Buzau,COMUNA,BOLDU,2307,1108,1199
Buzau,COMUNA,BOZIORU,1155,568,587
Buzau,COMUNA,BRADEANU,2491,1206,1285
Buzau,COMUNA,BRAESTI,2308,1154,1154
Buzau,COMUNA,BREAZA,2848,1412,1436
Buzau,COMUNA,BUDA,2741,1366,1375
Buzau,COMUNA,C.A. ROSETTI,3513,1737,1776
Buzau,COMUNA,CALVINI,4363,2187,2176
Buzau,COMUNA,CANESTI,885,441,444
Buzau,COMUNA,CATINA,2501,1273,1228
Buzau,COMUNA,CERNATESTI,3776,1797,1979
Buzau,COMUNA,CHILIILE,614,290,324
Buzau,COMUNA,CHIOJDU,3459,1716,1743
Buzau,COMUNA,CILIBIA,1803,924,879
Buzau,COMUNA,CISLAU,4461,2180,2281
Buzau,COMUNA,COCHIRLEANCA,4898,2415,2483
Buzau,COMUNA,COLTI,1082,516,566
Buzau,COMUNA,COSTESTI,4609,2288,2321
Buzau,COMUNA,COZIENI,2090,1020,1070
Buzau,COMUNA,FLORICA,1576,761,815
Buzau,COMUNA,GALBINASI,3998,1990,2008
Buzau,COMUNA,GHERASENI,3392,1717,1675
Buzau,COMUNA,GHERGHEASA,2426,1172,1254
Buzau,COMUNA,GLODEANU SARAT,4376,2162,2214
Buzau,COMUNA,GLODEANU-SILISTEA,3902,1881,2021
Buzau,COMUNA,GREBANU,5066,2531,2535
Buzau,COMUNA,GURA TEGHII,3374,1662,1712
Buzau,COMUNA,LARGU,1482,743,739
Buzau,COMUNA,LOPATARI,4108,2089,2019
Buzau,COMUNA,LUCIU,2858,1471,1387
Buzau,COMUNA,MAGURA,2070,1020,1050
Buzau,COMUNA,MANZALESTI,2553,1264,1289
Buzau,COMUNA,MARACINENI,7976,3954,4022
Buzau,COMUNA,MARGARITESTI,685,331,354
Buzau,COMUNA,MEREI,6607,3256,3351
Buzau,COMUNA,MIHAILESTI,2020,1003,1017
Buzau,COMUNA,MOVILA BANULUI,2604,1267,1337
Buzau,COMUNA,MURGESTI,933,438,495
Buzau,COMUNA,NAENI,1779,865,914
Buzau,COMUNA,ODAILE,861,417,444
Buzau,COMUNA,PADINA,3914,1898,2016
Buzau,COMUNA,PANATAU,2514,1231,1283
Buzau,COMUNA,PARDOSI,439,213,226
Buzau,COMUNA,PARSCOV,5493,2684,2809
Buzau,COMUNA,PIETROASELE,3199,1518,1681
Buzau,COMUNA,PODGORIA,3112,1529,1583
Buzau,COMUNA,POSTA CALNAU,5783,2851,2932
Buzau,COMUNA,PUIESTI,4063,1916,2147
Buzau,COMUNA,RACOVITENI,1393,678,715
Buzau,COMUNA,RAMNICELU,4444,2165,2279
Buzau,COMUNA,ROBEASCA,1108,554,554
Buzau,COMUNA,RUSETU,3628,1764,1864
Buzau,COMUNA,SAGEATA,4789,2437,2352
Buzau,COMUNA,SAHATENI,3159,1543,1616
Buzau,COMUNA,SAPOCA,3212,1600,1612
Buzau,COMUNA,SARULESTI,1314,671,643
Buzau,COMUNA,SCORTOASA,3008,1466,1542
Buzau,COMUNA,SCUTELNICI,2242,1105,1137
Buzau,COMUNA,SIRIU,3139,1582,1557
Buzau,COMUNA,SMEENI,6469,3243,3226
Buzau,COMUNA,STALPU,3089,1508,1581
Buzau,COMUNA,TINTESTI,4367,2196,2171
Buzau,COMUNA,TISAU,4616,2314,2302
Buzau,COMUNA,TOPLICENI,3839,1892,1947
Buzau,COMUNA,ULMENI,3120,1520,1600
Buzau,COMUNA,UNGURIU,2376,1210,1166
Buzau,COMUNA,VADU PASII,9065,4473,4592
Buzau,COMUNA,VALCELELE,1546,732,814
Buzau,COMUNA,VALEA RAMNICULUI,5207,2590,2617
Buzau,COMUNA,VALEA SALCIEI,763,364,399
Buzau,COMUNA,VERNESTI,8237,4049,4188
Buzau,COMUNA,VINTILA VODA,3056,1512,1544
Buzau,COMUNA,VIPERESTI,3404,1711,1693
Buzau,COMUNA,ZARNESTI,5424,2718,2706
Buzau,COMUNA,ZIDURI,4305,2146,2159
